index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
90,770, , ,[中央电视台综合频道](http://www.cctv.com),AVS+, ,开锁,512,650,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
91,770, , ,[中央电视台经济频道](http://www.cctv.com),AVS+, ,开锁,513,660,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
92,770, , ,[中央电视台中文国际频道](http://www.cctv.com),AVS+, ,开锁,514,670,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
93,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+, ,开锁,515,680,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
94,770, , ,中央电视台社会与法频道,AVS+, ,开锁,516,690,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
95,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+, ,开锁,517,700,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
96,770, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+, ,开锁,518,710,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
97,770, , ,中央电视台音乐频道,AVS+, ,开锁,519,720,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
98,770, , ,[中央电视台综合频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
99,770, , ,[中央电视台经济频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
100,770, , ,[中央电视台中文国际频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
101,770, , ,[中央电视台 记录频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
102,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
103,770, , ,中央电视台社会与法频道,AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
104,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
105,770, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
106,770, , ,中央电视台音乐频道,AVS+, ,开锁, , ,临江市区、抚松县城、抚松154台、抚松露水河台、长白市区、长白宝山电视塔、长白十三道沟电视塔, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
