index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
58,674, , ,【预备频道】,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
59,674, , ,【预备频道】,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
60,562, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
61,562, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
62,562, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
63,562, , ,中央电视台农业农村频道,AVS+,DRA,开锁,515,680,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
64,562, , ,中央电视台科教频道,AVS+,DRA,开锁, , ,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
65,562, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
66,562, , ,中央电视台社会与法频道,AVS+,DRA,开锁, , ,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
67,562, , ,中央电视台音乐频道,AVS+,DRA,开锁, , ,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
68,738, , ,内蒙古卫视 汉语,AVS, , , , ,克什克腾052台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
69,738, , ,内蒙古卫视 蒙语,AVS, , , , ,克什克腾052台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
70,794, , ,内蒙古卫视 汉语,AVS, , , , ,敖汉716台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
71,794, , ,内蒙古卫视 蒙语,AVS, , , , ,敖汉716台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
72,794, , ,内蒙古卫视 汉语,AVS, , , , ,宁城725, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
73,794, , ,内蒙古卫视 蒙语,AVS, , , , ,宁城725, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
